DATE	DJCA
1934-01-02	39.57
1934-01-03	39.03
1934-01-04	38.89
1934-01-05	38.38
1934-01-06	38.33
1934-01-08	38.32
1934-01-09	38.73
1934-01-10	39.82
1934-01-11	40.08
1934-01-12	39.71
1934-01-13	39.69
1934-01-15	41.89
1934-01-16	42.46
1934-01-17	42.46
1934-01-18	42.36
1934-01-19	43.61
1934-01-20	43.59
1934-01-22	43.34
1934-01-23	43.86
1934-01-24	44.21
1934-01-25	44.01
1934-01-26	43.79
1934-01-27	43.61
1934-01-29	44.36
1934-01-30	45.06
1934-01-31	44.45
1934-02-01	45.43
1934-02-02	45.33
1934-02-03	45.85
1934-02-05	46.78
1934-02-06	46.98
1934-02-07	45.67
1934-02-08	45.81
1934-02-09	44.86
1934-02-10	44.45
1934-02-13	44.74
1934-02-14	45.05
1934-02-15	45.82
1934-02-16	45.89
1934-02-17	45.97
1934-02-19	45.33
1934-02-20	45.49
1934-02-21	45.61
1934-02-23	44.43
1934-02-24	43.75
1934-02-26	42.88
1934-02-27	43.07
1934-02-28	42.93
1934-03-01	42.77
1934-03-02	43.99
1934-03-03	43.90
1934-03-05	43.64
1934-03-06	43.27
1934-03-07	42.30
1934-03-08	42.98
1934-03-09	42.70
1934-03-10	42.76
1934-03-12	43.47
1934-03-13	43.63
1934-03-14	43.63
1934-03-15	42.95
1934-03-16	43.04
1934-03-17	42.64
1934-03-19	41.71
1934-03-20	42.32
1934-03-21	41.58
1934-03-22	42.19
1934-03-23	41.98
1934-03-24	42.37
1934-03-26	42.35
1934-03-27	41.37
1934-03-28	41.51
1934-03-29	42.03
1934-03-31	42.48
1934-04-02	42.53
1934-04-03	42.83
1934-04-04	42.95
1934-04-05	43.10
1934-04-06	43.31
1934-04-07	43.20
1934-04-09	43.05
1934-04-10	43.63
1934-04-11	43.77
1934-04-12	43.69
1934-04-13	43.65
1934-04-14	43.67
1934-04-16	43.05
1934-04-17	43.38
1934-04-18	43.91
1934-04-19	44.03
1934-04-20	44.57
1934-04-21	44.38
1934-04-23	44.21
1934-04-24	43.91
1934-04-25	43.72
1934-04-26	43.10
1934-04-27	43.10
1934-04-28	42.78
1934-04-30	41.76
1934-05-01	41.68
1934-05-02	40.83
1934-05-03	40.88
1934-05-04	40.92
1934-05-05	40.27
1934-05-07	38.91
1934-05-08	39.68
1934-05-09	39.05
1934-05-10	38.31
1934-05-11	37.86
1934-05-12	37.47
1934-05-14	37.50
1934-05-15	38.03
1934-05-16	38.03
1934-05-17	39.36
1934-05-18	39.11
1934-05-19	39.08
1934-05-21	39.28
1934-05-22	38.47
1934-05-23	38.10
1934-05-24	38.36
1934-05-25	38.78
1934-05-26	39.03
1934-05-28	39.33
1934-05-29	39.14
1934-05-31	38.48
1934-06-01	37.64
1934-06-02	37.54
1934-06-04	38.03
1934-06-05	38.85
1934-06-06	38.99
1934-06-07	38.81
1934-06-08	40.42
1934-06-09	40.59
1934-06-11	40.13
1934-06-12	40.58
1934-06-13	40.72
1934-06-14	40.02
1934-06-15	40.65
1934-06-16	41.33
1934-06-18	41.45
1934-06-19	40.86
1934-06-20	40.51
1934-06-21	40.11
1934-06-22	39.43
1934-06-23	39.69
1934-06-25	39.34
1934-06-26	40.06
1934-06-27	39.95
1934-06-28	40.05
1934-06-29	39.45
1934-06-30	39.45
1934-07-02	38.87
1934-07-03	38.83
1934-07-05	39.39
1934-07-06	39.73
1934-07-07	39.67
1934-07-09	39.65
1934-07-10	40.04
1934-07-11	40.15
1934-07-12	39.81
