"",BBDE1.M.DE.Y.AEB1.N2C290000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.N2C290000.F.C.I10.A_FLAGS
"","Orders received from the domestic market / At constant prices / Germany / 29 Manufacture of motor vehicles, trailers and semi-trailers / Calendar and seasonally adjusted",
unit,2010=100,
unit multiplier,one,
last update,2014-07-04 08:23:59,
1991-01,97.6,
1991-02,88.4,
1991-03,97.9,
1991-04,87.5,
1991-05,89.1,
1991-06,88.7,
1991-07,82.3,
1991-08,89.3,
1991-09,90.1,
1991-10,87.0,
1991-11,90.9,
1991-12,90.4,
1992-01,90.8,
1992-02,93.7,
1992-03,87.2,
1992-04,76.3,
1992-05,72.8,
1992-06,72.9,
1992-07,71.5,
1992-08,71.9,
1992-09,74.5,
1992-10,73.7,
1992-11,70.4,
1992-12,79.3,
1993-01,70.9,
1993-02,60.0,
1993-03,57.4,
1993-04,60.5,
1993-05,65.9,
1993-06,63.7,
1993-07,64.9,
1993-08,65.3,
1993-09,68.2,
1993-10,68.6,
1993-11,68.8,
1993-12,71.7,
1994-01,68.3,
1994-02,72.9,
1994-03,73.4,
1994-04,74.9,
1994-05,71.9,
1994-06,73.3,
1994-07,74.5,
1994-08,71.9,
1994-09,71.7,
1994-10,76.0,
1994-11,76.5,
1994-12,75.1,
1995-01,72.8,
1995-02,72.9,
1995-03,71.8,
1995-04,73.3,
1995-05,78.5,
1995-06,72.4,
1995-07,71.2,
1995-08,71.9,
1995-09,71.0,
1995-10,70.6,
1995-11,72.4,
1995-12,80.1,
1996-01,75.0,
1996-02,67.6,
1996-03,78.8,
1996-04,74.6,
1996-05,74.8,
1996-06,78.5,
1996-07,75.0,
1996-08,79.7,
1996-09,76.5,
1996-10,79.6,
1996-11,73.7,
1996-12,73.7,
1997-01,76.2,
1997-02,73.5,
1997-03,82.3,
1997-04,81.4,
1997-05,85.9,
1997-06,80.4,
1997-07,80.3,
1997-08,80.0,
1997-09,79.9,
1997-10,81.0,
1997-11,84.0,
1997-12,83.2,
1998-01,81.5,
1998-02,83.6,
1998-03,88.5,
1998-04,83.9,
1998-05,85.7,
1998-06,86.1,
1998-07,88.5,
1998-08,85.2,
1998-09,91.0,
1998-10,88.4,
1998-11,89.7,
1998-12,87.7,
1999-01,93.4,
1999-02,83.9,
1999-03,84.7,
1999-04,85.9,
1999-05,86.6,
1999-06,89.6,
1999-07,87.9,
1999-08,88.5,
1999-09,86.1,
1999-10,87.0,
1999-11,87.2,
1999-12,91.7,
2000-01,86.8,
2000-02,94.0,
2000-03,90.5,
2000-04,96.0,
2000-05,96.1,
2000-06,94.6,
2000-07,93.6,
2000-08,94.2,
2000-09,91.5,
2000-10,90.4,
2000-11,98.7,
2000-12,93.0,
2001-01,93.1,
2001-02,96.3,
2001-03,91.7,
2001-04,92.8,
2001-05,92.0,
2001-06,96.4,
2001-07,93.4,
2001-08,101.4,
2001-09,92.1,
2001-10,90.9,
2001-11,89.3,
2001-12,91.9,
2002-01,94.2,
2002-02,85.4,
2002-03,88.9,
2002-04,90.2,
2002-05,88.9,
2002-06,92.4,
2002-07,91.2,
2002-08,96.9,
2002-09,93.4,
2002-10,93.8,
2002-11,91.4,
2002-12,89.4,
2003-01,95.4,
2003-02,100.6,
2003-03,90.1,
2003-04,91.2,
2003-05,94.4,
2003-06,88.6,
2003-07,92.1,
2003-08,89.5,
2003-09,95.1,
