"",BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50100.C.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - residential buildings, total / Calendar and seasonally adjusted",
unit,DM/Euro,
unit multiplier,billion,
last update,2014-06-16 11:08:05,
1994-01,12.25,
1994-02,11.85,
1994-03,11.86,
1994-04,12.80,
1994-05,12.12,
1994-06,12.66,
1994-07,12.60,
1994-08,13.46,
1994-09,12.47,
1994-10,13.94,
1994-11,13.02,
1994-12,12.75,
1995-01,12.65,
1995-02,12.38,
1995-03,11.77,
1995-04,12.01,
1995-05,11.25,
1995-06,10.93,
1995-07,11.52,
1995-08,11.22,
1995-09,10.98,
1995-10,10.76,
1995-11,11.11,
1995-12,12.55,
1996-01,11.07,
1996-02,11.36,
1996-03,11.74,
1996-04,11.37,
1996-05,10.45,
1996-06,11.70,
1996-07,10.91,
1996-08,10.89,
1996-09,11.23,
1996-10,10.38,
1996-11,10.83,
1996-12,11.15,
1997-01,10.32,
1997-02,11.32,
1997-03,10.84,
1997-04,10.08,
1997-05,11.36,
1997-06,10.21,
1997-07,10.42,
1997-08,10.41,
1997-09,10.95,
1997-10,10.66,
1997-11,10.66,
1997-12,10.03,
1998-01,9.25,
1998-02,8.88,
1998-03,9.67,
1998-04,10.11,
1998-05,11.42,
1998-06,11.06,
1998-07,9.66,
1998-08,10.65,
1998-09,10.60,
1998-10,10.21,
1998-11,9.82,
1998-12,10.16,
1999-01,4.82,
1999-02,4.33,
1999-03,4.61,
1999-04,4.84,
1999-05,5.12,
1999-06,5.10,
1999-07,5.20,
1999-08,5.08,
1999-09,5.05,
1999-10,5.22,
1999-11,4.88,
1999-12,4.44,
2000-01,4.91,
2000-02,4.29,
2000-03,4.38,
2000-04,4.11,
2000-05,4.09,
2000-06,3.99,
2000-07,4.09,
2000-08,4.03,
2000-09,3.95,
2000-10,3.76,
2000-11,3.72,
2000-12,3.40,
2001-01,3.17,
2001-02,3.47,
2001-03,3.45,
2001-04,3.61,
2001-05,3.78,
2001-06,3.71,
2001-07,3.84,
2001-08,3.54,
2001-09,3.50,
2001-10,3.59,
2001-11,3.28,
2001-12,2.95,
2002-01,3.36,
2002-02,3.29,
2002-03,3.18,
2002-04,3.46,
2002-05,3.39,
2002-06,3.44,
2002-07,3.45,
2002-08,3.22,
2002-09,3.26,
2002-10,3.12,
2002-11,3.33,
2002-12,4.55,
2003-01,5.44,
2003-02,4.58,
2003-03,4.06,
2003-04,3.64,
2003-05,3.36,
2003-06,3.28,
2003-07,3.09,
2003-08,3.20,
2003-09,3.16,
2003-10,3.34,
2003-11,3.47,
2003-12,4.37,
2004-01,5.05,
2004-02,4.67,
2004-03,4.11,
2004-04,3.38,
2004-05,3.00,
2004-06,2.83,
2004-07,2.58,
2004-08,2.77,
2004-09,2.73,
2004-10,2.80,
2004-11,2.94,
2004-12,2.94,
2005-01,3.43,
2005-02,3.00,
2005-03,2.80,
2005-04,2.67,
2005-05,2.66,
2005-06,2.68,
2005-07,2.67,
2005-08,2.81,
2005-09,2.97,
2005-10,2.82,
2005-11,3.19,
2005-12,3.49,
2006-01,4.51,
2006-02,3.93,
2006-03,3.67,
2006-04,3.23,
2006-05,3.07,
2006-06,2.77,
2006-07,2.87,
2006-08,2.79,
2006-09,2.67,
2006-10,2.54,
2006-11,2.46,
2006-12,2.26,
2007-01,2.08,
2007-02,1.99,
2007-03,2.06,
2007-04,2.35,
2007-05,2.39,
2007-06,2.29,
2007-07,2.37,
2007-08,2.22,
2007-09,2.46,
2007-10,2.30,
2007-11,2.34,
2007-12,2.31,
2008-01,2.18,
2008-02,2.24,
2008-03,2.18,
2008-04,2.38,
2008-05,2.23,
2008-06,2.30,
2008-07,2.31,
2008-08,2.15,
2008-09,2.18,
2008-10,2.25,
2008-11,2.08,
2008-12,2.08,
2009-01,2.21,
2009-02,1.95,
2009-03,2.13,
2009-04,2.30,
2009-05,2.40,
2009-06,2.29,
2009-07,2.42,
2009-08,2.49,
2009-09,2.44,
2009-10,2.61,
2009-11,2.50,
2009-12,2.42,
2010-01,2.24,
2010-02,2.30,
2010-03,2.29,
2010-04,2.22,
2010-05,2.41,
2010-06,2.68,
2010-07,2.67,
2010-08,2.82,
2010-09,2.66,
2010-10,2.75,
2010-11,2.87,
2010-12,2.33,
2011-01,2.87,
2011-02,3.00,
2011-03,3.16,
2011-04,3.00,
2011-05,3.09,
2011-06,3.09,
2011-07,2.99,
2011-08,3.12,
2011-09,3.05,
2011-10,3.15,
2011-11,3.22,
2011-12,3.29,
2012-01,2.67,
2012-02,2.97,
2012-03,3.20,
2012-04,3.04,
2012-05,3.53,
2012-06,3.59,
2012-07,3.34,
2012-08,3.41,
2012-09,3.41,
2012-10,3.37,
2012-11,3.28,
2012-12,3.37,
2013-01,3.40,
2013-02,3.47,
2013-03,3.45,
2013-04,3.80,
2013-05,3.55,
2013-06,3.55,
2013-07,3.92,
2013-08,3.64,
2013-09,3.91,
2013-10,3.69,
2013-11,3.73,
2013-12,3.65,
2014-01,4.03,
2014-02,3.88,
2014-03,3.76,
2014-04,3.90,
