"",BBK01.ED0361,BBK01.ED0361_FLAGS
"",German investment abroad / Europe / Total / Balance,
unit,DM/Euro,
unit multiplier,million,
last update,2014-06-11 11:52:14,
1971-01,-3184.28,
1971-04,-1885.65,
1971-07,654.12,
1971-10,1065.77,
1972-01,-4332.91,
1972-04,1097.91,
1972-07,1160.25,
1972-10,147.87,
1973-01,-609.05,
1973-04,-1778.43,
1973-07,-934.04,
1973-10,-5220.66,
1974-01,-145.37,
1974-04,-5688.71,
1974-07,-8032.77,
1974-10,-8509.08,
1975-01,-2406.31,
1975-04,-5474.36,
1975-07,-7515.43,
1975-10,-8592.82,
1976-01,107.84,
1976-04,-4628.40,
1976-07,710.30,
1976-10,-12650.75,
1977-01,2885.80,
1977-04,-5061.57,
1977-07,1277.56,
1977-10,-10681.88,
1978-01,1742.54,
1978-04,-2188.34,
1978-07,1818.53,
1978-10,-6424.15,
1979-01,-1037.02,
1979-04,-6149.94,
1979-07,1911.46,
1979-10,-7999.30,
1980-01,-7062.63,
1980-04,-6702.89,
1980-07,-588.67,
1980-10,-15452.94,
1981-01,-3281.66,
1981-04,-867.61,
1981-07,-4616.15,
1981-10,-18923.35,
1982-01,2406.03,
1982-04,2692.86,
1982-07,-2106.05,
1982-10,-8628.88,
1983-01,9209.64,
1983-04,-10025.79,
1983-07,1291.67,
1983-10,-9993.31,
1984-01,-4663.77,
1984-04,1335.60,
1984-07,-7140.55,
1984-10,-25639.85,
1985-01,-9801.94,
1985-04,-15034.44,
1985-07,-4370.55,
1985-10,-37741.56,
1986-01,-33229.51,
1986-04,-29379.07,
1986-07,-32498.08,
1986-10,-34716.11,
1987-01,-18770.08,
1987-04,-27048.55,
1987-07,-5571.33,
1987-10,-1774.22,
1988-01,-18621.95,
1988-04,-17803.25,
1988-07,-34825.70,
1988-10,-24390.57,
1989-01,-30892.00,
1989-04,-47091.48,
1989-07,-32981.77,
1989-10,-64907.57,
1990-01,-53427.41,
1990-04,-26433.77,
1990-07,-35625.90,
1990-10,-39809.21,
1991-01,-17019.42,
1991-04,-1562.00,
1991-07,-8784.65,
1991-10,-39876.56,
1992-01,-16373.76,
1992-04,-10865.00,
1992-07,-10479.84,
1992-10,-72231.94,
1993-01,-86715.94,
1993-04,-57972.39,
1993-07,-26029.72,
1993-10,-76591.54,
1994-01,11897.09,
1994-04,23411.44,
1994-07,-17584.28,
1994-10,-73933.04,
1995-01,-20813.28,
1995-04,-45918.26,
1995-07,-290.42,
1995-10,-28848.46,
1996-01,-9357.85,
1996-04,-15479.76,
1996-07,4209.04,
1996-10,-92994.57,
1997-01,-61422.13,
1997-04,-75048.98,
1997-07,-47779.32,
1997-10,-79801.07,
1998-01,-149678.21,
1998-04,-116201.08,
1998-07,-32300.26,
1998-10,-122111.30,
1999-01,-109429.20,
1999-04,-33644.76,
1999-07,-59495.04,
1999-10,-78734.08,
2000-01,-92286.00,
2000-04,-77947.42,
2000-07,-61286.62,
2000-10,-4135.59,
2001-01,-111021.19,
2001-04,-126.55,
2001-07,-54148.06,
2001-10,-12748.46,
2002-01,-47350.34,
2002-04,-64239.25,
2002-07,-81082.08,
2002-10,-27013.06,
2003-01,-94361.72,
2003-04,-40304.78,
2003-07,-8802.68,
2003-10,-34200.74,
2004-01,-75745.65,
2004-04,-8476.99,
2004-07,-101683.84,
2004-10,-51034.36,
2005-01,-147504.21,
2005-04,-81689.06,
2005-07,-56630.10,
2005-10,-40039.28,
2006-01,-180283.89,
2006-04,-71852.31,
2006-07,-60036.60,
2006-10,-90806.46,
2007-01,-151576.96,
2007-04,-182559.33,
2007-07,-96585.83,
2007-10,-69376.81,
2008-01,-193696.38,
2008-04,-70278.02,
2008-07,-31426.10,
2008-10,79735.43,
2009-01,30801.17,
2009-04,-61037.53,
2009-07,9142.08,
2009-10,-34426.52,
2010-01,-93601.85,
2010-04,-108126.83,
2010-07,-86535.27,
2010-10,-65610.78,
2011-01,-62106.93,
2011-04,-56663.53,
2011-07,-161764.97,
2011-10,48658.32,
2012-01,-249368.40,
2012-04,-131231.05,
2012-07,-20823.31,
2012-10,54499.91,
2013-01,-18197.42,
2013-04,-20567.85,
2013-07,24496.03,
2013-10,43111.43,
2014-01,-65274.17,
