"",BBK01.JQ5005,BBK01.JQ5005_FLAGS
"",National accounts - exports (price adjusted) / unadjusted figures / 1 / 2 / 3 /,
unit,2005=100,
unit multiplier,one,
last update,2014-05-23 08:12:38,
1970-01,13.72,
1970-04,14.55,
1970-07,14.66,
1970-10,15.75,
1971-01,14.64,
1971-04,14.83,
1971-07,15.25,
1971-10,15.35,
1972-01,15.00,
1972-04,15.66,
1972-07,15.54,
1972-10,17.58,
1973-01,16.79,
1973-04,17.46,
1973-07,17.40,
1973-10,18.97,
1974-01,19.71,
1974-04,19.56,
1974-07,19.59,
1974-10,20.08,
1975-01,17.70,
1975-04,18.52,
1975-07,18.09,
1975-10,19.79,
1976-01,19.59,
1976-04,20.12,
1976-07,20.22,
1976-10,21.79,
1977-01,20.52,
1977-04,21.15,
1977-07,20.65,
1977-10,22.65,
1978-01,20.95,
1978-04,21.81,
1978-07,21.34,
1978-10,23.23,
1979-01,22.19,
1979-04,22.74,
1979-07,22.62,
1979-10,24.13,
1980-01,25.00,
1980-04,24.11,
1980-07,23.07,
1980-10,24.51,
1981-01,24.17,
1981-04,25.25,
1981-07,25.91,
1981-10,28.35,
1982-01,27.01,
1982-04,27.07,
1982-07,25.69,
1982-10,27.73,
1983-01,26.31,
1983-04,26.51,
1983-07,25.75,
1983-10,28.40,
1984-01,28.61,
1984-04,27.69,
1984-07,28.34,
1984-10,31.80,
1985-01,31.18,
1985-04,30.96,
1985-07,30.80,
1985-10,32.16,
1986-01,30.30,
1986-04,31.42,
1986-07,30.02,
1986-10,31.89,
1987-01,29.87,
1987-04,30.87,
1987-07,30.42,
1987-10,33.38,
1988-01,30.15,
1988-04,32.81,
1988-07,32.22,
1988-10,36.41,
1989-01,35.26,
1989-04,37.19,
1989-07,35.10,
1989-10,37.57,
1990-01,38.72,
1990-04,37.40,
1990-07,40.34,
1990-10,45.12,
1991-01,44.95,
1991-04,43.82,
1991-07,44.15,
1991-10,46.47,
1992-01,45.46,
1992-04,43.64,
1992-07,43.92,
1992-10,45.29,
1993-01,40.97,
1993-04,41.45,
1993-07,40.67,
1993-10,44.61,
1994-01,43.05,
1994-04,45.89,
1994-07,44.52,
1994-10,47.78,
1995-01,47.21,
1995-04,48.03,
1995-07,46.83,
1995-10,50.92,
1996-01,49.54,
1996-04,50.15,
1996-07,50.50,
1996-10,55.19,
1997-01,52.27,
1997-04,57.18,
1997-07,57.76,
1997-10,61.73,
1998-01,59.60,
1998-04,62.18,
1998-07,60.84,
1998-10,63.80,
1999-01,59.49,
1999-04,64.99,
1999-07,65.26,
1999-10,70.93,
2000-01,69.91,
2000-04,72.32,
2000-07,72.33,
2000-10,80.58,
2001-01,77.51,
2001-04,78.25,
2001-07,76.59,
2001-10,81.70,
2002-01,77.60,
2002-04,82.06,
2002-07,81.98,
2002-10,85.73,
2003-01,81.73,
2003-04,81.74,
2003-07,84.19,
2003-10,87.96,
2004-01,89.18,
2004-04,93.88,
2004-07,91.75,
2004-10,96.71,
2005-01,93.62,
2005-04,99.42,
2005-07,100.82,
2005-10,106.12,
2006-01,107.80,
2006-04,109.37,
2006-07,111.77,
2006-10,123.41,
2007-01,119.63,
2007-04,119.81,
2007-07,121.51,
2007-10,127.49,
2008-01,126.43,
2008-04,128.87,
2008-07,126.05,
2008-10,120.97,
2009-01,106.04,
2009-04,104.85,
2009-07,109.39,
2009-10,116.86,
2010-01,117.68,
2010-04,124.83,
2010-07,126.61,
2010-10,134.39,
2011-01,134.73,
2011-04,133.82,
2011-07,136.10,
2011-10,139.17,
2012-01,140.91,
2012-04,140.01,
2012-07,140.43,
2012-10,139.87,
2013-01,137.19,
2013-04,142.05,
2013-07,141.72,
2013-10,145.43,
2014-01,144.70,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: Figures are chain-linked Laspeyres indices (annual overlap). Data basis according to ESA 95.",
