"",BBK01.OU0149,BBK01.OU0149_FLAGS
"",Medium and long-term lending to general government / Loans / Long-term / All categories of banks,
unit,DM/Euro,
unit multiplier,billion,
last update,2014-07-01 08:52:31,
1950-06,0.427,
1950-07,0.445,
1950-08,0.488,
1950-09,0.532,
1950-10,0.620,
1950-11,0.650,
1950-12,0.704,
1951-01,0.732,
1951-02,0.771,
1951-03,0.795,
1951-04,0.821,
1951-05,0.847,
1951-06,0.877,
1951-07,0.899,
1951-08,0.967,
1951-09,1.008,
1951-10,1.095,
1951-11,1.142,
1951-12,1.201,
1952-01,1.230,
1952-02,1.252,
1952-03,1.285,
1952-04,1.257,
1952-05,1.291,
1952-06,1.325,
1952-07,1.382,
1952-08,1.453,
1952-09,1.515,
1952-10,1.600,
1952-11,1.646,
1952-12,1.731,
1953-01,1.786,
1953-02,1.848,
1953-03,1.867,
1953-04,1.938,
1953-05,1.984,
1953-06,2.040,
1953-07,2.123,
1953-08,2.363,
1953-09,2.425,
1953-10,2.505,
1953-11,2.569,
1953-12,2.667,
1954-01,2.795,
1954-02,3.026,
1954-03,3.137,
1954-04,3.230,
1954-05,3.315,
1954-06,3.399,
1954-07,3.523,
1954-08,3.617,
1954-09,3.746,
1954-10,3.900,
1954-11,4.004,
1954-12,4.181,
1955-01,4.353,
1955-02,4.455,
1955-03,4.547,
1955-04,4.716,
1955-05,4.817,
1955-06,4.938,
1955-07,5.302,
1955-08,5.470,
1955-09,5.595,
1955-10,5.759,
1955-11,5.861,
1955-12,6.017,
1956-01,6.145,
1956-02,6.228,
1956-03,6.354,
1956-04,6.388,
1956-05,6.476,
1956-06,6.559,
1956-07,6.677,
1956-08,6.834,
1956-09,6.892,
1956-10,6.974,
1956-11,7.055,
1956-12,7.117,
1957-01,7.169,
1957-02,7.164,
1957-03,7.305,
1957-04,7.373,
1957-05,7.384,
1957-06,7.401,
1957-07,7.445,
1957-08,7.529,
1957-09,7.606,
1957-10,7.786,
1957-11,7.951,
1957-12,8.187,
1958-01,8.339,
1958-02,8.652,
1958-03,8.831,
1958-04,9.093,
1958-05,9.211,
1958-06,9.421,
1958-07,9.524,
1958-08,9.674,
1958-09,9.797,
1958-10,10.192,
1958-11,10.298,
1958-12,10.482,
1959-01,10.994,
1959-02,11.111,
1959-03,11.253,
1959-04,11.468,
1959-05,11.747,
1959-06,11.818,
1959-07,12.334,
1959-08,12.424,
1959-09,12.612,
1959-10,12.817,
1959-11,12.928,
1959-12,13.248,
1960-01,13.331,
1960-02,13.444,
1960-03,13.579,
1960-04,13.718,
1960-05,13.805,
1960-06,13.896,
1960-07,14.062,
1960-08,14.139,
1960-09,14.181,
1960-10,14.293,
1960-11,14.474,
1960-12,15.496,
1961-01,15.645,
1961-02,15.700,
1961-03,15.831,
1961-04,16.004,
1961-05,16.084,
1961-06,16.082,
1961-07,16.262,
1961-08,16.390,
1961-09,16.578,
1961-10,16.707,
1961-11,16.879,
1961-12,16.962,
1962-01,17.232,
1962-02,17.323,
1962-03,17.364,
1962-04,17.397,
1962-05,17.617,
1962-06,17.740,
1962-07,17.922,
1962-08,18.059,
1962-09,18.220,
1962-10,18.457,
1962-11,18.650,
1962-12,18.758,
1963-01,19.285,
1963-02,19.319,
1963-03,19.498,
1963-04,19.366,
1963-05,19.677,
1963-06,19.755,
1963-07,20.113,
1963-08,20.543,
1963-09,20.770,
1963-10,21.181,
1963-11,21.614,
1963-12,21.996,
1964-01,22.597,
1964-02,22.451,
1964-03,22.707,
1964-04,23.014,
1964-05,23.123,
1964-06,23.268,
1964-07,23.788,
1964-08,24.200,
1964-09,24.658,
1964-10,25.155,
1964-11,25.601,
1964-12,26.237,
1965-01,26.692,
1965-02,26.996,
1965-03,27.252,
1965-04,27.724,
1965-05,28.006,
1965-06,28.216,
1965-07,28.880,
1965-08,29.389,
1965-09,29.638,
1965-10,30.031,
1965-11,30.535,
1965-12,30.904,
1966-01,30.869,
1966-02,31.035,
1966-03,31.253,
1966-04,31.526,
1966-05,31.884,
1966-06,31.819,
1966-07,32.132,
1966-08,32.472,
1966-09,32.708,
1966-10,33.088,
1966-11,33.433,
1966-12,33.736,
1967-01,34.427,
1967-02,34.844,
1967-03,35.301,
1967-04,35.668,
1967-05,35.988,
1967-06,36.267,
1967-07,36.698,
1967-08,37.348,
1967-09,37.562,
1967-10,38.032,
1967-11,38.716,
1967-12,39.469,
1968-01,40.396,
1968-02,41.149,
1968-03,41.966,
1968-04,42.623,
1968-05,43.292,
1968-06,43.810,
1968-07,44.373,
1968-08,45.299,
1968-09,46.505,
1968-10,47.309,
1968-11,47.436,
1968-12,43.848,
1969-01,44.852,
1969-02,45.954,
1969-03,46.297,
1969-04,46.340,
1969-05,46.615,
1969-06,46.974,
1969-07,47.479,
1969-08,48.513,
1969-09,49.148,
1969-10,50.113,
1969-11,50.616,
1969-12,50.984,
1970-01,52.399,
1970-02,52.541,
1970-03,53.170,
1970-04,53.531,
1970-05,53.944,
1970-06,54.402,
1970-07,55.006,
1970-08,55.622,
1970-09,56.027,
1970-10,56.471,
1970-11,57.283,
1970-12,57.991,
1971-01,58.820,
1971-02,59.231,
1971-03,59.559,
1971-04,60.121,
1971-05,60.788,
1971-06,61.235,
1971-07,62.087,
1971-08,62.860,
1971-09,63.350,
1971-10,64.077,
1971-11,65.231,
1971-12,66.938,
1972-01,67.384,
1972-02,68.093,
1972-03,68.826,
1972-04,69.751,
1972-05,70.626,
1972-06,71.617,
1972-07,72.725,
1972-08,73.705,
1972-09,74.316,
1972-10,75.346,
1972-11,75.967,
1972-12,77.054,
1973-01,77.961,
1973-02,79.040,
1973-03,79.681,
1973-04,80.323,
1973-05,80.985,
1973-06,81.400,
1973-07,81.949,
1973-08,82.693,
1973-09,82.977,
1973-10,84.276,
1973-11,85.779,
1973-12,88.211,
1974-01,88.801,
1974-02,88.702,
1974-03,88.478,
1974-04,89.076,
1974-05,89.698,
1974-06,90.478,
1974-07,91.462,
1974-08,92.651,
1974-09,93.326,
1974-10,94.633,
1974-11,96.623,
1974-12,98.271,
1975-01,100.114,
1975-02,101.710,
1975-03,102.354,
1975-04,104.765,
1975-05,107.527,
1975-06,109.373,
1975-07,110.957,
1975-08,113.326,
1975-09,114.482,
1975-10,117.040,
1975-11,120.094,
1975-12,123.262,
1976-01,126.072,
1976-02,129.261,
1976-03,132.451,
1976-04,133.674,
1976-05,134.802,
1976-06,136.195,
1976-07,138.605,
1976-08,141.098,
1976-09,141.933,
1976-10,142.805,
1976-11,146.705,
1976-12,148.751,
1977-01,151.154,
1977-02,151.863,
1977-03,153.540,
1977-04,154.865,
1977-05,155.442,
1977-06,155.966,
1977-07,159.886,
1977-08,161.399,
1977-09,162.000,
1977-10,163.929,
1977-11,165.806,
1977-12,167.338,
1978-01,172.657,
1978-02,176.018,
1978-03,177.063,
1978-04,177.765,
1978-05,178.091,
1978-06,179.272,
1978-07,181.140,
1978-08,186.341,
1978-09,187.660,
1978-10,188.439,
1978-11,191.838,
1978-12,194.088,
1979-01,193.494,
1979-02,195.864,
1979-03,199.533,
1979-04,201.003,
1979-05,202.565,
1979-06,205.637,
1979-07,209.451,
1979-08,210.801,
1979-09,211.240,
1979-10,213.714,
1979-11,218.391,
1979-12,220.707,
1980-01,220.568,
1980-02,222.786,
1980-03,222.554,
1980-04,225.689,
1980-05,228.305,
1980-06,228.874,
1980-07,232.020,
1980-08,233.057,
1980-09,234.974,
1980-10,236.919,
1980-11,239.510,
1980-12,241.658,
1981-01,242.006,
1981-02,242.846,
1981-03,245.904,
1981-04,249.192,
1981-05,249.981,
1981-06,251.362,
1981-07,254.209,
1981-08,256.022,
1981-09,258.085,
1981-10,260.461,
1981-11,265.721,
1981-12,269.145,
1982-01,272.048,
1982-02,274.009,
1982-03,276.162,
1982-04,279.499,
1982-05,279.647,
1982-06,279.573,
1982-07,280.342,
1982-08,282.463,
1982-09,283.618,
1982-10,286.818,
1982-11,290.413,
1982-12,293.839,
1983-01,295.990,
1983-02,295.279,
1983-03,296.481,
1983-04,297.505,
1983-05,298.313,
1983-06,298.669,
1983-07,298.606,
1983-08,299.505,
1983-09,299.243,
1983-10,301.727,
1983-11,303.585,
1983-12,304.432,
1984-01,304.120,
1984-02,304.834,
1984-03,304.137,
1984-04,305.163,
1984-05,305.149,
1984-06,306.507,
1984-07,307.923,
1984-08,310.704,
1984-09,314.166,
1984-10,316.612,
1984-11,321.259,
1984-12,322.939,
1985-01,322.106,
1985-02,323.177,
1985-03,323.977,
1985-04,324.577,
1985-05,326.077,
1985-06,325.481,
1985-07,327.282,
1985-08,329.092,
1985-09,330.664,
1985-10,332.426,
1985-11,334.585,
1985-12,336.286,
1986-01,335.634,
1986-02,336.691,
1986-03,337.366,
1986-04,336.784,
1986-05,338.011,
1986-06,336.737,
1986-07,340.166,
1986-08,343.170,
1986-09,341.422,
1986-10,341.213,
1986-11,342.804,
1986-12,346.689,
1987-01,345.945,
1987-02,346.041,
1987-03,345.226,
1987-04,346.869,
1987-05,349.957,
1987-06,348.652,
1987-07,351.752,
1987-08,354.406,
1987-09,355.299,
1987-10,360.368,
1987-11,364.896,
1987-12,367.760,
1988-01,367.315,
1988-02,367.590,
1988-03,367.848,
1988-04,370.559,
1988-05,372.571,
1988-06,373.278,
1988-07,375.223,
1988-08,379.287,
1988-09,380.155,
1988-10,383.269,
1988-11,388.055,
1988-12,389.010,
1989-01,387.175,
1989-02,386.438,
1989-03,385.921,
1989-04,385.857,
1989-05,386.485,
1989-06,385.931,
1989-07,386.642,
1989-08,387.876,
1989-09,387.153,
1989-10,387.532,
1989-11,389.678,
1989-12,389.571,
1990-01,389.323,
1990-02,387.524,
1990-03,386.173,
1990-04,385.984,
1990-05,384.950,
1990-06,384.901,
1990-07,381.069,
1990-08,386.632,
1990-09,390.034,
1990-10,394.624,
1990-11,398.913,
1990-12,400.971,
1991-01,405.764,
1991-02,405.596,
1991-03,406.641,
1991-04,409.128,
1991-05,410.955,
1991-06,410.765,
1991-07,414.155,
1991-08,415.398,
1991-09,412.112,
1991-10,415.178,
1991-11,419.633,
1991-12,420.760,
1992-01,423.275,
1992-02,425.222,
1992-03,423.790,
1992-04,422.612,
1992-05,422.119,
1992-06,421.607,
1992-07,422.794,
1992-08,424.449,
1992-09,425.303,
1992-10,430.110,
1992-11,436.740,
1992-12,440.203,
1993-01,446.710,
1993-02,448.371,
1993-03,451.846,
1993-04,457.668,
1993-05,463.057,
1993-06,465.282,
1993-07,471.861,
1993-08,474.463,
1993-09,477.314,
1993-10,486.546,
1993-11,492.651,
1993-12,500.324,
1994-01,504.782,
1994-02,507.492,
1994-03,509.530,
1994-04,510.626,
1994-05,511.747,
1994-06,511.452,
1994-07,514.445,
1994-08,514.386,
1994-09,516.236,
1994-10,519.360,
1994-11,525.140,
1994-12,542.547,
1995-01,566.840,
1995-02,566.826,
1995-03,571.438,
1995-04,576.007,
1995-05,581.216,
1995-06,583.264,
1995-07,591.565,
1995-08,600.353,
1995-09,604.996,
1995-10,614.233,
1995-11,628.912,
1995-12,638.447,
1996-01,646.574,
1996-02,652.203,
1996-03,653.307,
1996-04,657.692,
1996-05,653.060,
1996-06,657.569,
1996-07,662.121,
1996-08,669.999,
1996-09,675.107,
1996-10,686.358,
1996-11,700.739,
1996-12,703.586,
1997-01,706.977,
1997-02,712.198,
1997-03,716.386,
1997-04,729.280,
1997-05,733.766,
1997-06,734.527,
1997-07,740.600,
1997-08,746.856,
1997-09,751.158,
1997-10,764.461,
1997-11,773.617,
1997-12,780.763,
1998-01,790.149,
1998-02,796.502,
1998-03,802.966,
1998-04,805.319,
1998-05,807.735,
1998-06,808.747,
1998-07,811.999,
1998-08,814.768,
1998-09,811.156,
1998-10,815.592,
1998-11,817.942,
1998-12,835.669,
1999-01,417.153,
1999-02,417.160,
1999-03,417.111,
1999-04,418.561,
1999-05,418.992,
1999-06,420.407,
1999-07,420.949,
1999-08,421.604,
1999-09,421.527,
1999-10,424.251,
1999-11,427.244,
1999-12,428.612,
2000-01,427.386,
2000-02,427.367,
2000-03,426.651,
2000-04,428.953,
2000-05,428.304,
2000-06,428.400,
2000-07,429.181,
2000-08,428.485,
2000-09,426.031,
2000-10,424.314,
2000-11,423.797,
2000-12,425.549,
2001-01,424.982,
2001-02,423.262,
2001-03,422.509,
2001-04,421.867,
2001-05,421.816,
2001-06,421.471,
2001-07,420.066,
2001-08,419.667,
2001-09,418.411,
2001-10,418.381,
2001-11,417.287,
2001-12,414.608,
2002-01,412.867,
2002-02,410.464,
2002-03,406.602,
2002-04,405.679,
2002-05,403.777,
2002-06,402.000,
2002-07,401.319,
2002-08,401.506,
2002-09,398.710,
2002-10,397.396,
2002-11,392.214,
2002-12,389.714,
2003-01,384.221,
2003-02,382.935,
2003-03,379.847,
2003-04,377.648,
2003-05,375.524,
2003-06,374.167,
2003-07,373.616,
2003-08,371.070,
2003-09,369.574,
2003-10,369.428,
2003-11,368.641,
2003-12,366.446,
2004-01,366.536,
2004-02,364.979,
2004-03,364.374,
2004-04,362.318,
2004-05,360.283,
2004-06,357.864,
2004-07,358.157,
2004-08,357.435,
2004-09,356.652,
2004-10,354.948,
2004-11,354.603,
2004-12,354.761,
2005-01,352.845,
2005-02,353.159,
2005-03,351.813,
2005-04,348.670,
2005-05,346.827,
2005-06,348.114,
2005-07,348.306,
2005-08,346.643,
2005-09,345.255,
2005-10,341.980,
2005-11,341.338,
2005-12,341.404,
2006-01,337.771,
2006-02,336.282,
2006-03,333.415,
2006-04,332.163,
2006-05,331.550,
2006-06,327.852,
2006-07,326.536,
2006-08,325.340,
2006-09,325.625,
2006-10,324.995,
2006-11,326.981,
2006-12,326.627,
2007-01,324.216,
2007-02,321.799,
2007-03,316.453,
2007-04,313.626,
2007-05,311.591,
2007-06,311.122,
2007-07,309.711,
2007-08,308.385,
2007-09,305.721,
2007-10,301.623,
2007-11,300.024,
2007-12,300.646,
2008-01,295.075,
2008-02,291.070,
2008-03,289.145,
2008-04,289.010,
2008-05,288.838,
2008-06,287.340,
2008-07,285.682,
2008-08,284.567,
2008-09,282.756,
2008-10,282.104,
2008-11,281.354,
2008-12,278.503,
2009-01,275.648,
2009-02,273.186,
2009-03,270.370,
2009-04,270.317,
2009-05,269.774,
2009-06,269.599,
2009-07,270.346,
2009-08,270.099,
2009-09,268.446,
2009-10,268.798,
2009-11,266.209,
2009-12,265.799,
2010-01,265.549,
2010-02,263.157,
2010-03,261.765,
2010-04,261.572,
2010-05,263.615,
2010-06,262.616,
2010-07,262.063,
2010-08,262.594,
2010-09,263.631,
