"",BBK01.OUA001,BBK01.OUA001_FLAGS
"",Money market paper issued by banks (MFIs) / All categories of banks,
unit,DM/Euro,
unit multiplier,billion,
last update,2014-07-01 08:30:54,
1993-12,3.436,
1994-01,3.929,
1994-02,4.031,
1994-03,4.031,
1994-04,3.355,
1994-05,3.103,
1994-06,3.222,
1994-07,3.780,
1994-08,4.351,
1994-09,3.425,
1994-10,3.484,
1994-11,4.205,
1994-12,4.731,
1995-01,4.183,
1995-02,3.389,
1995-03,3.334,
1995-04,3.138,
1995-05,3.335,
1995-06,2.540,
1995-07,2.644,
1995-08,2.861,
1995-09,3.415,
1995-10,2.849,
1995-11,4.195,
1995-12,4.362,
1996-01,4.065,
1996-02,4.527,
1996-03,4.570,
1996-04,3.247,
1996-05,3.056,
1996-06,2.575,
1996-07,2.665,
1996-08,3.714,
1996-09,3.071,
1996-10,3.554,
1996-11,3.434,
1996-12,3.655,
1997-01,3.236,
1997-02,2.871,
1997-03,2.805,
1997-04,3.124,
1997-05,2.710,
1997-06,2.283,
1997-07,2.705,
1997-08,2.368,
1997-09,2.354,
1997-10,3.352,
1997-11,3.591,
1997-12,3.782,
1998-01,4.456,
1998-02,5.049,
1998-03,6.864,
1998-04,5.145,
1998-05,4.950,
1998-06,4.912,
1998-07,6.567,
1998-08,6.862,
1998-09,7.865,
1998-10,9.416,
1998-11,11.786,
1998-12,12.542,
1999-01,6.198,
1999-02,5.687,
1999-03,4.838,
1999-04,5.975,
1999-05,5.682,
1999-06,5.141,
1999-07,5.309,
1999-08,7.072,
1999-09,9.755,
1999-10,12.065,
1999-11,16.684,
1999-12,19.668,
2000-01,18.387,
2000-02,19.209,
2000-03,22.832,
2000-04,26.275,
2000-05,25.861,
2000-06,26.788,
2000-07,28.507,
2000-08,28.838,
2000-09,28.300,
2000-10,28.430,
2000-11,28.444,
2000-12,28.138,
2001-01,27.935,
2001-02,25.119,
2001-03,23.541,
2001-04,21.927,
2001-05,20.019,
2001-06,18.240,
2001-07,16.208,
2001-08,14.659,
2001-09,13.010,
2001-10,12.658,
2001-11,8.564,
2001-12,6.414,
2002-01,6.646,
2002-02,6.584,
2002-03,7.109,
2002-04,7.584,
2002-05,7.309,
2002-06,7.440,
2002-07,9.135,
2002-08,9.205,
2002-09,10.386,
2002-10,9.923,
2002-11,18.864,
2002-12,8.751,
2003-01,10.570,
2003-02,11.067,
2003-03,10.917,
2003-04,11.597,
2003-05,10.479,
2003-06,11.101,
2003-07,12.304,
2003-08,10.665,
2003-09,11.021,
2003-10,10.599,
2003-11,11.763,
2003-12,10.320,
2004-01,9.663,
2004-02,9.851,
2004-03,9.803,
2004-04,10.826,
2004-05,9.611,
2004-06,9.711,
2004-07,8.578,
2004-08,9.114,
2004-09,9.964,
2004-10,8.558,
2004-11,8.705,
2004-12,10.289,
2005-01,10.538,
2005-02,11.192,
2005-03,12.988,
2005-04,14.605,
2005-05,13.433,
2005-06,14.483,
2005-07,15.239,
2005-08,16.764,
2005-09,17.615,
2005-10,16.855,
2005-11,16.099,
2005-12,12.491,
2006-01,14.106,
2006-02,15.190,
2006-03,17.616,
2006-04,19.473,
2006-05,19.806,
2006-06,21.757,
2006-07,22.363,
2006-08,20.796,
2006-09,22.624,
2006-10,24.417,
2006-11,23.890,
2006-12,22.592,
2007-01,25.724,
2007-02,27.503,
2007-03,29.372,
2007-04,29.075,
2007-05,29.983,
2007-06,35.321,
2007-07,36.818,
2007-08,38.112,
2007-09,37.524,
2007-10,39.288,
2007-11,41.191,
2007-12,38.761,
2008-01,40.855,
2008-02,45.023,
2008-03,47.897,
2008-04,47.909,
2008-05,54.673,
2008-06,65.527,
2008-07,69.781,
2008-08,71.345,
2008-09,70.141,
2008-10,66.553,
2008-11,79.106,
2008-12,71.320,
2009-01,69.270,
2009-02,64.423,
2009-03,45.895,
2009-04,41.766,
2009-05,36.037,
2009-06,34.569,
2009-07,33.132,
2009-08,31.197,
2009-09,27.139,
2009-10,23.609,
2009-11,22.564,
2009-12,37.832,
2010-01,35.129,
2010-02,32.659,
2010-03,32.059,
2010-04,31.094,
2010-05,33.124,
2010-06,32.603,
2010-07,29.944,
2010-08,30.895,
2010-09,27.096,
2010-10,10.057,
2010-11,10.817,
2010-12,9.532,
2011-01,10.688,
2011-02,11.429,
2011-03,9.769,
2011-04,9.906,
2011-05,11.691,
2011-06,10.999,
2011-07,11.636,
2011-08,10.656,
2011-09,11.814,
2011-10,13.012,
2011-11,14.303,
2011-12,11.635,
2012-01,13.212,
2012-02,13.034,
2012-03,13.254,
2012-04,12.980,
2012-05,13.329,
2012-06,13.136,
2012-07,13.126,
2012-08,12.305,
2012-09,10.482,
2012-10,10.008,
2012-11,8.763,
2012-12,7.893,
2013-01,8.339,
2013-02,7.846,
2013-03,7.572,
2013-04,7.378,
2013-05,7.204,
2013-06,7.485,
2013-07,7.408,
2013-08,7.132,
2013-09,7.565,
2013-10,7.110,
2013-11,8.177,
2013-12,8.955,
2014-01,8.573,
2014-02,8.863,
2014-03,8.970,
2014-04,9.547,
2014-05,9.691,Provisional value
