"",BBK01.TVS303J,BBK01.TVS303J_FLAGS
"",Money stock M3/ Seasonally adjusted/ Annual percentage change/ EWU,
unit,PC,
unit multiplier,one,
last update,2014-07-02 12:49:50,
1971-01,.,Missing value; data cannot exist
1971-02,.,Missing value; data cannot exist
1971-03,.,Missing value; data cannot exist
1971-04,.,Missing value; data cannot exist
1971-05,.,Missing value; data cannot exist
1971-06,.,Missing value; data cannot exist
1971-07,.,Missing value; data cannot exist
1971-08,.,Missing value; data cannot exist
1971-09,.,Missing value; data cannot exist
1971-10,.,Missing value; data cannot exist
1971-11,.,Missing value; data cannot exist
1971-12,.,Missing value; data cannot exist
1972-01,.,Missing value; data cannot exist
1972-02,.,Missing value; data cannot exist
1972-03,.,Missing value; data cannot exist
1972-04,.,Missing value; data cannot exist
1972-05,.,Missing value; data cannot exist
1972-06,.,Missing value; data cannot exist
1972-07,.,Missing value; data cannot exist
1972-08,.,Missing value; data cannot exist
1972-09,.,Missing value; data cannot exist
1972-10,.,Missing value; data cannot exist
1972-11,.,Missing value; data cannot exist
1972-12,.,Missing value; data cannot exist
1973-01,.,Missing value; data cannot exist
1973-02,.,Missing value; data cannot exist
1973-03,.,Missing value; data cannot exist
1973-04,.,Missing value; data cannot exist
1973-05,.,Missing value; data cannot exist
1973-06,.,Missing value; data cannot exist
1973-07,.,Missing value; data cannot exist
1973-08,.,Missing value; data cannot exist
1973-09,.,Missing value; data cannot exist
1973-10,.,Missing value; data cannot exist
1973-11,.,Missing value; data cannot exist
1973-12,.,Missing value; data cannot exist
1974-01,.,Missing value; data cannot exist
1974-02,.,Missing value; data cannot exist
1974-03,.,Missing value; data cannot exist
1974-04,.,Missing value; data cannot exist
1974-05,.,Missing value; data cannot exist
1974-06,.,Missing value; data cannot exist
1974-07,.,Missing value; data cannot exist
1974-08,.,Missing value; data cannot exist
1974-09,.,Missing value; data cannot exist
1974-10,.,Missing value; data cannot exist
1974-11,.,Missing value; data cannot exist
1974-12,.,Missing value; data cannot exist
1975-01,.,Missing value; data cannot exist
1975-02,.,Missing value; data cannot exist
1975-03,.,Missing value; data cannot exist
1975-04,.,Missing value; data cannot exist
1975-05,.,Missing value; data cannot exist
1975-06,.,Missing value; data cannot exist
1975-07,.,Missing value; data cannot exist
1975-08,.,Missing value; data cannot exist
1975-09,.,Missing value; data cannot exist
1975-10,.,Missing value; data cannot exist
1975-11,.,Missing value; data cannot exist
1975-12,.,Missing value; data cannot exist
1976-01,.,Missing value; data cannot exist
1976-02,.,Missing value; data cannot exist
1976-03,.,Missing value; data cannot exist
1976-04,.,Missing value; data cannot exist
1976-05,.,Missing value; data cannot exist
1976-06,.,Missing value; data cannot exist
1976-07,.,Missing value; data cannot exist
1976-08,.,Missing value; data cannot exist
1976-09,.,Missing value; data cannot exist
1976-10,.,Missing value; data cannot exist
1976-11,.,Missing value; data cannot exist
1976-12,.,Missing value; data cannot exist
1977-01,.,Missing value; data cannot exist
1977-02,.,Missing value; data cannot exist
1977-03,.,Missing value; data cannot exist
1977-04,.,Missing value; data cannot exist
1977-05,.,Missing value; data cannot exist
1977-06,.,Missing value; data cannot exist
1977-07,.,Missing value; data cannot exist
1977-08,.,Missing value; data cannot exist
1977-09,.,Missing value; data cannot exist
1977-10,.,Missing value; data cannot exist
1977-11,.,Missing value; data cannot exist
1977-12,.,Missing value; data cannot exist
1978-01,.,Missing value; data cannot exist
